"","FECHA","HORA","CO","NO","NO2","NOX","O3","PM25"
"3565","29/05/2022",13,0.15,1,7,8,74,25
"593","25/01/2022",17,0.2,1,8,9,39,14
"4931","25/07/2022",11,0.3,9,18,27,35,21
"6847","13/10/2022",7,1.14,70,22,92,10,16
"2129","30/03/2022",17,0.17,0,8,8,93,51
"6744","08/10/2022",24,0.22,4,21,25,8,7
"6610","03/10/2022",10,0.38,9,19,29,31,33
"4921","25/07/2022",1,0.24,2,18,21,14,7
"656","28/01/2022",8,2.07,150,32,182,1,46
"7567","12/11/2022",7,1.88,79,36,115,2,53
"6670","05/10/2022",22,0.56,1,32,33,32,17
"1712","13/03/2022",8,1.15,57,28,86,3,25
"1029","12/02/2022",21,0.44,3,27,30,19,13
"3538","28/05/2022",10,0.22,7,12,19,31,21
"429","18/01/2022",21,0.43,1,25,26,26,25
"3525","27/05/2022",21,0.32,3,17,20,20,21
"1696","12/03/2022",16,0.21,0,7,7,74,28
"7761","20/11/2022",9,0.39,7,19,26,10,30
"7488","08/11/2022",24,0.37,8,31,39,2,19
"5799","30/08/2022",15,0.19,3,9,12,50,10
"53","03/01/2022",5,0,1,11,12,14,4
"439","19/01/2022",7,1.3,53,40,93,1,48
